author,followers,tweet_count,created_at,date.enter,date.exit
repjohnfaso,4970,537,1/2/17 14:44,1/3/17,NA
repjohnkatko,8639,551,1/7/15 21:51,1/3/15,NA
repjohnkline,8784,3044,9/22/09 14:43,1/3/03,1/3/17
repjohnlarson,21994,2650,6/24/09 21:47,1/3/99,NA
repjohnlewis,814038,1823,4/7/09 13:49,1/3/87,NA
repjohnyarmuth,27645,872,10/4/11 15:07,1/3/07,NA
repjonrunyan,6007,196,6/1/11 20:22,1/3/11,1/3/15
repjoseserrano,23484,1816,4/20/09 16:06,3/20/90,NA
repjoshg,4028,1081,12/31/16 21:35,1/3/17,NA
repjuanvargas,16414,1705,3/11/13 19:04,1/3/13,NA
repjudychu,46099,2175,9/22/10 15:18,6/14/09,NA
repkarenbass,68191,2111,1/18/11 20:25,1/3/11,NA
repkathleenrice,28649,2223,1/9/15 21:18,1/3/15,NA
repkaygranger,16595,1500,7/1/10 17:14,1/3/97,NA
repkclark,56249,3545,1/15/14 18:53,12/10/13,NA
repkenbuck,12340,1180,11/5/14 14:49,1/3/15,NA
repkenmarchant,23116,3328,3/12/09 16:19,1/3/05,NA
repkerryb,3586,1124,11/23/12 16:41,1/3/13,1/3/15
repkevinbrady,34478,3782,2/2/09 19:57,1/3/97,NA
repkevincramer,11112,2671,12/30/12 20:54,1/3/13,NA
repkevinyoder,27038,2334,2/16/11 0:04,1/3/11,NA
repkihuen,10255,1525,1/3/17 13:56,1/3/17,NA
repkinzinger,37281,6489,11/24/10 21:04,1/3/11,NA
repkristinoem,26699,3710,1/7/11 18:44,1/3/11,NA
replahood,7303,632,9/17/15 14:16,9/10/15,NA
replamalfa,11120,420,1/7/13 20:07,1/3/13,NA
replancenj7,13861,720,6/20/12 20:19,1/3/09,NA
replarrybucshon,17201,2759,1/6/11 16:45,1/3/11,NA
replawrence,10078,1327,11/5/14 18:46,1/3/15,NA
repleezeldin,16438,1014,8/20/14 19:25,1/3/15,NA
replindasanchez,27940,831,6/6/11 16:50,1/3/03,NA
replipinski,10747,2028,12/13/12 17:03,1/3/05,NA
replizcheney,2943,181,1/4/17 18:55,1/3/17,NA
replloyddoggett,28799,4021,6/9/10 23:53,1/3/95,NA
replobiondo,15117,3567,1/21/11 18:28,1/3/95,NA
reploiscapps,12304,796,5/4/11 15:39,3/10/98,1/3/17
reploisfrankel,18957,3770,1/10/13 16:58,1/3/13,NA
reploubarletta,21359,2579,1/18/11 16:37,1/3/11,NA
reploudermilk,9751,1598,12/10/14 18:53,1/3/15,NA
replouiegohmert,96591,2288,2/26/09 20:14,1/3/05,NA
replowenthal,23281,1018,1/2/13 18:11,1/3/13,NA
replujangrisham,24398,1891,1/4/13 20:46,1/3/13,NA
replukemesser,13563,1393,12/29/12 20:06,1/3/13,NA
replynnjenkins,23430,1394,1/28/09 15:54,1/3/09,NA
repmaloney,24755,4024,2/28/11 19:06,1/3/93,NA
repmarciafudge,30256,2424,6/8/10 17:54,11/18/08,NA
repmarcykaptur,15781,3272,5/15/12 16:57,1/3/83,NA
repmarkmeadows,52847,2198,11/22/12 2:20,1/3/13,NA
repmarkpocan,65706,3851,2/21/13 22:59,1/3/13,NA
repmarktakai,2968,710,1/12/15 21:41,1/3/15,7/20/16
repmarktakano,44401,2401,12/26/12 14:58,1/3/13,NA
repmarktakano,44401,2401,12/26/12 14:58,1/3/13,NA
repmarkwalker,9022,1733,1/7/15 16:20,1/3/15,NA
repmartharoby,28320,3583,12/8/10 16:56,1/3/11,NA
